enunciado,a,b,c,d,e,correta,lvl
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (12),Samba,Forró,Sertanejo,Axé,Funk,C,4
Quem canta a música 'Evidências' em dupla com Leonardo? (13),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,4
Qual desses é um famoso festival de música no Brasil? (14),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,4
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (15)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,4
Qual é o gênero musical tradicional do Rio de Janeiro? (1),Samba,Forró,Axé,Frevo,Pagode,A,5
Quem é conhecido como o 'Poeta do Samba'? (2),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,5
Qual desses é um estilo musical originado nas favelas cariocas? (3),Funk,Samba,Forró,Axé,Maracatu,A,5
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (4),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,5
A banda 'Legião Urbana' é associada a qual gênero? (5),Samba,Rock,Funk,Forró,Axé,B,5
Qual é o gênero musical tradicional do Rio de Janeiro? (6),Samba,Forró,Axé,Frevo,Pagode,A,5
Quem é conhecido como o 'Poeta do Samba'? (7),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,5
Qual desses é um estilo musical originado nas favelas cariocas? (8),Funk,Samba,Forró,Axé,Maracatu,A,5
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (9),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,5
A banda 'Legião Urbana' é associada a qual gênero? (10),Samba,Rock,Funk,Forró,Axé,B,5
